178931,LUCIANO DUCCI,LUCIANO DUCCI,PR,PSB,80,80,0,4,33733,0.00486170811964545
74383,FERNANDO LUCIO GIACOBO,GIACOBO,PR,PR,80,261,3,16,33733,0.0106720422138559
178895,MISAEL ARTUR FERREIRA VARELLA,MISAEL VARELLA,MG,DEM,80,12,0,4,33733,0.0028458779236949
141527,RENATO DELMAR MOLLING,RENATO MOLLING,RS,PP,80,542,0,12,33733,0.0187946521210684
81232,IRAJA SILVESTRE FILHO,IRAJA ABREU,TO,PSD,80.8,127,0,8,33733,0.00639729641597249
178999,BRUNIELE FERREIRA GOMES,BRUNNY,MG,PMB,80.8,24,0,4,33733,0.00322532831352088
141478,LAERTE RODRIGUES DE BESSA,LAERTE BESSA,DF,PR,80.8,462,1,8,33733,0.0163578691489046
160676,FERNANDO DANTAS TORRES,FERNANDO TORRES,BA,PSD,81.1475409836066,42,0,8,33733,0.00388781137116789
74273,JEFFERSON ALVES DE CAMPOS,JEFFERSON CAMPOS,SP,PSD,81.6,299,3,16,33733,0.01184596685738
94931,LUCIO QUADROS VIEIRA LIMA,LUCIO VIEIRA LIMA,BA,PMDB,81.6,115,0,8,33733,0.00606527732487475
74075,ELCIONE THEREZINHA ZAHLUTH BARBALHO,ELCIONE BARBALHO,PA,PMDB,81.6,300,3,12,33733,0.0117570331722645
141472,JOSE RICARDO ALVARENGA TRIPOLI,RICARDO TRIPOLI,SP,PSDB,81.6,341,0,12,33733,0.0128835265170604
178839,JESSICA ROJAS SALES,JESSICA SALES,AC,PMDB,82.4,4,0,4,33733,0.00267986837814603
178961,SHERIDAN ESTERFANY OLIVEIRA DE ANCHIETA,SHERIDAN,RR,PSDB,82.4,65,0,4,33733,0.0044881866421605
160536,MARCO ANTONIO TEBALDI,MARCO TEBALDI,SC,PSDB,82.4,211,0,8,33733,0.00893487089793377
178902,JOSE ORCIRIO MIRANDA DOS SANTOS,ZECA DO PT,MS,PT,82.4,12,0,4,33733,0.00291702487178727
178852,MARCOS JOSE REATEGUI SOUZA,MARCOS REATEGUI,AP,PSC,82.4,44,0,4,33733,0.00386565084635224
160632,JOSE SILVA SOARES,ZE SILVA,MG,SD,82.4,245,0,8,33733,0.00994278599590905
73458,ALEX CANZIANI SILVEIRA,ALEX CANZIANI,PR,PTB,82.4,605,11,16,33733,0.0211780748821629
74554,JOSE ALVES ROCHA,JOSE ROCHA,BA,PR,82.4,663,5,16,33733,0.0227195920908309
73666,JOVAIR DE OLIVEIRA ARANTES,JOVAIR ARANTES,GO,PTB,82.4,1012,6,16,33733,0.0330951886876353
160613,SEBASTIAO SIBA MACHADO OLIVEIRA,SIBA MACHADO,AC,PT,82.4,371,0,8,33733,0.0136780007707586
160588,DIEGO LEONARDO DE ANDRADE CARVALHO,DIEGO ANDRADE,MG,PSD,83.2,193,0,8,33733,0.0084249844366051
74570,JUTAHY MAGALHAES JUNIOR,JUTAHY JUNIOR,BA,PSDB,83.2,375,3,16,33733,0.0141463848457001
74090,ATILA SIDNEY LINS ALBUQUERQUE,ATILA LINS,AM,PSD,83.2,551,4,16,33733,0.0193934722675125
74270,GILBERTO NASCIMENTO SILVA,GILBERTO NASCIMENTO,SP,PSC,83.2,116,2,8,33733,0.00620164230871847
160565,MARA CRISTINA GABRILLI,MARA GABRILLI,SP,PSDB,83.2,324,3,8,33733,0.0123973557050959
73486,DARCI POMPEO DE MATTOS,POMPEO DE MATTOS,RS,PDT,84,1012,6,12,33733,0.0330240417395429
73586,JULIO CESAR DELGADO,JULIO DELGADO,MG,PSB,84,729,8,16,33733,0.0248124981472149
